,QuestionText_nchars,VerfiedBuyersWithLanguage,NonEmployeeAnswersWithinWeek
13161,208,4,0
13162,91,100,1
13163,87,1089,1
13164,78,16,1
13165,99,33,0
13166,137,8,0
13168,193,10,1
13169,56,94,1
13170,80,112,2
13171,91,406,1
13172,199,17,1
13174,60,2,0
13175,126,0,0
13176,114,30,2
13177,195,721,0
13178,77,0,0
13179,48,11,2
13180,41,517,1
13181,59,96,1
13182,38,21,1
13183,151,222,0
13185,103,215,1
13186,36,12,1
13187,58,1,0
13188,85,1,0
13189,28,64,0
13190,29,0,0
13191,41,111,1
13192,95,0,0
13193,54,50,0
13195,55,9,0
13196,187,1224,1
13197,200,3,0
13198,29,182,2
13199,129,99,2
13200,35,177,1
13201,58,1,0
13202,131,209,1
13203,121,148,1
13204,187,39,1
13205,168,408,1
13206,100,43,1
13207,194,44,1
13208,45,9,0
13209,60,9,1
13210,199,162,1
13211,173,125,1
13212,155,1106,3
13213,197,561,1
13214,105,94,1
13215,58,78,1
13217,112,10,1
13218,63,82,1
13219,189,200,1
13220,32,148,1
13221,193,518,0
13222,16,341,2
13223,43,3,0
13224,117,50,1
13225,136,53,0
13226,86,100,1
13227,88,573,1
13229,46,5,1
13230,59,29,0
13231,60,447,1
13232,185,21,1
13235,102,178,1
13236,84,90,1
13237,199,3,0
13238,50,389,2
13239,143,8,0
13240,96,38,1
13241,199,2868,2
13242,82,310,1
13243,81,590,1
13244,90,282,1
13245,199,236,1
13246,29,189,0
13247,181,2942,1
13248,165,2152,1
13249,116,60,0
13250,62,3,0
13251,161,136,1
13252,32,44,1
13253,25,7,0
13254,72,3,0
13255,70,793,1
13256,202,56,1
13257,52,179,1
13258,51,104,3
13259,116,61,1
13260,35,10,1
13261,158,222,1
13262,48,47,1
13263,61,3560,1
13264,60,3560,1
13265,107,0,0
13266,70,2,0
13267,63,3560,1
13268,120,91,1
13269,183,18,1
13270,36,365,1
13271,64,293,1
13272,25,0,0
13273,200,249,2
13274,53,0,0
13275,35,15,0
13276,133,5,1
13277,158,23,2
13278,154,12,2
13279,37,12,0
13280,89,7,0
13281,193,25,0
13282,26,25,1
13283,193,30,1
13284,62,4,0
13285,200,45,0
13286,36,36,1
13287,106,20,1
13288,33,23,0
13289,54,210,1
13290,178,549,2
13291,125,11,1
13292,83,1,1
13293,107,41,2
13294,116,150,1
13295,193,353,1
13296,168,31,1
13297,38,56,0
13298,178,9,2
13299,56,424,1
13300,105,327,2
13304,72,2,0
13306,52,36,2
13307,52,51,0
13308,50,1045,1
13309,45,196,2
13310,65,36,1
13311,92,2004,1
13312,40,869,0
13313,121,41,1
13314,75,145,1
13315,104,0,1
13316,73,279,1
13317,100,0,0
13318,101,42,1
13319,55,0,0
13320,139,39,0
13321,197,0,0
13322,121,408,1
13324,202,390,1
13325,97,12,1
13326,75,1563,1
13327,97,29,1
13328,198,413,2
13329,141,1,1
13330,97,345,1
13331,29,19,0
13332,182,26,1
13333,29,5,1
13336,112,232,1
13338,61,19,0
13339,51,249,2
13340,155,14,0
13341,68,100,0
13342,93,5,2
13343,197,167,1
13344,159,2264,1
13345,105,8,0
13346,62,0,0
13348,64,29,1
13349,108,93,1
13350,75,29,1
13351,157,1107,1
13352,77,577,2
13353,104,114,1
13354,98,3,0
13355,170,58,1
13356,46,113,1
13357,125,3,0
13359,84,19,0
13360,62,1904,2
13361,62,255,1
13362,56,23,0
13363,56,259,1
13364,56,639,1
13365,58,18,1
13366,200,0,1
13367,38,4,0
13368,92,36,0
13369,97,89,2
13371,72,57,1
13372,113,248,2
13373,138,106,1
13374,199,0,0
13375,134,5,0
13376,101,195,2
13377,138,207,2
13378,200,1,0
13379,48,6,0
13382,31,12,0
13383,182,3,1
13384,123,496,1
13385,199,7,1
13386,196,388,1
13388,30,951,1
13389,113,10,0
13390,106,128,1
13391,116,73,2
13392,52,788,2
13393,137,258,1
13394,112,1024,1
13395,55,3376,1
13396,112,1623,1
13398,76,31,1
13399,81,24,1
13400,26,28,1
13401,112,150,2
13402,183,4535,2
13403,55,0,1
13404,75,1938,2
13406,83,16,0
13408,142,19,0
13409,44,28,1
13410,195,96,1
13411,152,297,1
13412,40,16,0
13413,45,35,0
13414,157,85,0
13415,138,0,0
13416,138,5,0
13417,57,207,1
13418,125,106,0
13419,47,3254,1
13420,186,189,1
13421,38,24,0
13422,59,121,2
13423,41,36,1
13424,67,95,1
13425,76,243,1
13426,55,23,0
13427,99,11,0
13428,156,0,0
13429,113,364,1
13430,201,1688,1
13431,175,4,0
13432,56,19,0
13433,39,531,1
13434,26,78,0
13436,171,4,0
13437,114,453,1
13438,91,3,0
13439,58,62,1
13441,37,4071,1
13442,183,6,1
13443,161,517,0
13444,78,828,1
13445,46,280,1
13446,88,21,1
13447,47,13,0
13448,96,347,2
13449,146,2,1
13450,80,2,0
13451,134,16,0
13453,93,15,0
13454,72,167,1
13455,50,41,0
13456,114,0,2
13457,191,1,0
13458,34,14,2
13459,158,100,1
13460,123,13,0
13461,42,15,1
13462,69,11,0
13463,55,19,1
13464,123,57,0
13465,183,34,0
13466,111,944,0
13467,70,59,1
13468,41,15,0
13469,54,265,1
13470,159,53,2
13471,167,761,1
13472,189,891,1
13473,163,0,1
13474,157,1561,1
13476,166,48,1
13477,197,140,1
13478,36,140,1
13479,162,2485,0
13480,50,0,0
13481,201,1688,2
13482,168,1731,2
13483,53,13,1
13484,89,464,1
13485,198,370,1
13486,141,638,1
13489,98,284,1
13490,54,169,1
13491,57,10,0
13493,198,171,2
13494,115,230,2
13495,79,36,0
13496,168,839,1
13497,64,1,0
13498,45,12253,1
13499,45,12253,1
13500,88,1,0
13501,174,3290,1
13502,115,418,1
13503,169,5,0
13504,195,894,1
13505,176,894,3
13506,173,17,1
13507,48,39,1
13508,93,32,1
13509,5,32,0
13510,53,2,0
13511,54,1950,1
13512,50,76,0
13513,189,1,0
13514,60,19,0
13515,199,116,1
13516,73,2,0
13517,55,109,1
13518,192,1293,1
13519,56,20,1
13520,88,4021,1
13521,58,255,1
13522,178,5335,1
13523,73,6,1
13524,134,284,2
13525,46,65,2
13526,66,63,1
13527,28,575,1
13528,52,322,1
13529,199,8,0
13530,59,7953,0
13531,144,22,0
13532,199,891,1
13533,98,15,0
13534,61,35,1
13535,183,1,0
13536,46,7156,1
13537,28,2,0
13538,85,62,1
13539,58,190,2
13540,59,125,0
13541,119,0,0
13542,94,91,1
13543,45,4,0
13544,113,84,1
13546,82,181,0
13547,71,167,1
13548,182,235,0
13549,107,831,1
13550,122,110,0
13551,16,1,0
13552,94,1033,0
13553,106,5259,1
13554,43,30,0
13555,76,104,3
13556,119,72,0
13557,79,0,0
13558,74,797,1
13559,78,55,0
13560,30,355,1
13561,200,6,0
13562,105,12,0
13563,182,24,1
13564,147,4,1
13565,70,0,0
13566,84,189,1
13568,105,0,0
13569,65,112,1
13570,78,150,2
13571,78,29,1
13572,42,72,2
13573,44,618,0
13574,158,118,1
13575,71,31,2
13576,196,70,1
13577,196,863,1
13578,157,7,0
13579,52,536,1
13580,141,721,2
13581,133,478,1
13582,189,1,1
13583,70,1206,2
13584,129,133,0
13586,42,224,1
13587,105,48,1
13588,154,106,1
13589,154,262,2
13590,121,320,1
13591,182,550,2
13592,58,6,1
13593,102,37,0
13594,38,544,1
13595,182,1,2
13596,49,450,1
13597,43,63,1
13598,140,21,2
13599,90,105,1
13600,134,0,1
13601,152,0,0
13602,35,1,0
13603,37,221,1
13604,56,38,1
13605,113,185,1
13606,152,180,1
13607,50,281,1
13608,193,13,1
13610,167,1513,2
13611,192,8,0
13612,117,205,1
13613,29,22,0
13614,40,8,0
13615,182,214,0
13616,47,175,1
13617,143,37,0
13618,72,541,1
13619,263,128,1
13620,109,77,1
13621,43,305,1
13622,58,0,0
13623,30,5,0
13624,162,826,1
13627,87,2047,1
13628,124,4,1
13629,153,38,1
13630,182,9,1
13631,49,76,0
13632,78,39,1
13633,36,9,0
13634,166,176,1
13635,188,3,1
13636,69,3396,1
13637,48,47,2
13638,69,3396,1
13639,115,0,0
13640,94,0,1
13641,54,501,1
13642,188,936,1
13643,73,105,1
13644,63,1,0
13645,194,3028,2
13646,66,90,1
13647,77,18,0
13648,69,82,1
13649,52,1,0
13650,75,44,2
13652,128,16,1
13653,135,3,0
13654,70,489,0
13655,167,152,1
13656,58,8,1
13657,31,206,1
13658,119,29,0
13659,77,3003,1
13660,146,4,0
13661,163,557,1
13662,60,573,1
13663,137,59,1
13664,148,618,1
13665,122,76,3
13666,191,110,1
13668,35,1,0
13669,97,2,0
13671,197,203,1
13672,176,140,0
13673,167,193,0
13674,76,193,1
13675,52,0,0
13676,200,3452,2
13677,47,968,2
13678,124,3,0
13679,95,3,0
13680,28,562,1
13681,39,28,0
13682,56,32,1
13683,132,16,1
13684,70,174,0
13685,103,340,1
13686,34,180,1
13687,118,384,1
13689,92,0,0
13690,198,70,1
13691,202,22,1
13692,138,1527,3
13693,179,26,0
13694,106,6,1
13695,82,1,1
13698,167,380,1
13700,200,22,2
13702,125,55,2
13704,58,14,0
13705,37,92,1
13706,146,28,2
13707,112,794,1
13709,51,1,1
13710,168,88,0
13711,77,653,0
13712,101,2,0
13713,138,1225,1
13714,64,8,0
13715,155,21,1
13716,86,108,1
13717,28,35,1
13719,118,51,1
13720,121,158,1
13721,200,24,0
13722,50,4,0
13723,27,19,1
13724,192,129,2
13725,182,564,2
13726,164,10071,1
13728,44,2482,1
13729,42,204,2
13730,116,31,0
13731,67,250,1
13732,47,458,0
13733,33,103,1
13734,62,672,1
13735,64,170,0
13736,194,1,0
13737,65,160,1
13738,140,160,0
13739,195,30,1
13740,62,226,0
13741,197,30,0
13742,43,80,0
13743,231,3634,1
13744,115,3,0
13745,84,0,0
13746,52,0,0
13747,192,35,1
13749,133,317,1
13750,65,308,1
13751,42,0,0
13752,51,5,0
13753,69,101,0
13754,99,160,1
13756,128,44,1
13757,191,857,1
13758,120,116,0
13759,60,161,1
13760,82,102,2
13761,191,79,0
13762,184,268,1
13763,40,256,2
13764,197,3,0
13765,59,2,0
13766,181,35,1
13767,104,79,0
13768,133,424,1
13769,170,428,1
13770,108,170,1
13771,59,93,1
13772,52,52,1
13773,153,241,1
13774,116,241,1
13775,74,195,1
13776,178,27,1
13777,95,1,0
13778,52,214,0
13780,124,40,0
13781,43,0,0
13782,159,315,2
13783,98,14,1
13784,29,1,1
13785,117,395,1
13786,86,4,0
13787,42,109,1
13788,23,30,0
13790,78,507,1
13791,152,1831,1
13792,68,10,1
13793,65,2010,1
13794,77,2,0
13795,67,43,3
13796,87,71,1
13797,145,16,0
13798,95,18,0
13799,194,7,0
13800,162,2,0
13801,51,71,1
13802,82,97,1
13803,110,451,1
13804,117,1,1
13806,191,61,0
13807,75,24,1
13808,113,172,0
13809,28,102,1
13810,140,110,1
13811,60,4,0
13812,44,36,2
13814,188,11,0
13815,108,49,1
13816,105,85,1
13817,81,37,0
13818,87,338,1
13819,176,1732,1
13820,150,6,1
13821,35,36,1
13822,86,153,2
13828,91,379,1
13829,76,208,1
13830,52,22,0
13832,134,1,1
13834,84,52,0
13835,126,14,1
13836,46,11,0
13837,49,35,0
13838,96,146,2
13839,107,0,0
13840,54,77,2
13841,221,39,1
13842,100,1429,1
13843,136,5289,2
13844,177,1008,0
13845,136,3,0
13846,56,40,2
13847,107,5,0
13848,72,223,1
13850,16,0,0
13851,74,9,0
13852,66,42,0
13853,110,94,0
13854,38,34,0
13855,64,8,1
13856,199,100,1
13857,89,3,1
13858,92,70,2
13859,79,83,1
13860,45,10,1
13861,80,362,1
13862,51,55,0
13864,177,45,1
13865,65,57,2
13866,79,15,0
13867,163,631,1
13868,119,1394,1
13870,190,23,1
13871,105,6,1
13872,94,2084,2
13873,65,27,1
13874,93,6,0
13875,36,0,1
13876,42,25,1
13877,177,4157,1
13878,189,15,0
13879,44,0,1
13880,16,4,0
13881,96,6,0
13882,44,71,0
13883,187,946,1
13884,53,6,0
13885,188,760,1
13886,23,254,0
13887,110,0,0
13888,136,484,1
13889,183,61,0
13890,24,3,0
13891,79,110,1
13892,104,505,2
13893,143,188,1
13894,32,17,0
13895,32,23,0
13896,199,5,0
13897,66,14,0
13898,49,2,0
13899,50,115,2
13901,18,14,1
13902,165,0,0
13903,153,1,2
13904,58,449,1
13905,39,3,1
13906,202,245,1
13907,157,1763,1
13908,85,497,1
13909,29,809,2
13910,51,20,1
13911,147,233,1
13912,47,124,1
13913,200,0,0
13914,198,0,0
13917,49,171,1
13919,192,39,0
13920,89,108,1
13921,106,134,1
13922,77,372,0
13924,128,3,0
13925,184,2063,1
13926,44,4,0
13927,81,39,0
13928,78,107,0
13929,142,6,0
13930,125,33,0
13931,85,5,0
13932,83,12,0
13933,93,207,0
13934,194,5,0
13936,38,0,0
13937,153,95,1
13938,71,8,0
13939,29,4415,1
13940,154,66,0
13941,147,4,1
13942,195,70,1
13943,61,52,1
13944,104,2,1
13945,66,46,0
13946,70,356,1
13947,19,1,0
13948,141,196,2
13949,59,1166,1
13950,94,156,1
13951,120,1333,1
13953,165,1,0
13954,34,9,1
13955,46,0,0
13956,200,218,3
13957,62,0,0
13958,139,1,0
13959,107,844,0
13960,101,10,1
13961,34,55,1
13962,67,7,0
13963,30,16,0
13964,145,612,2
13965,151,7,2
13966,52,2,0
13967,75,270,0
13968,75,134,1
13970,67,1150,1
13971,73,789,0
13972,142,31,1
13973,67,109,1
13974,42,409,1
13976,66,1695,1
13977,30,15,1
13978,99,8,1
13979,100,104,1
13980,100,104,1
13981,142,113,2
13982,88,639,0
13983,140,25,1
13984,79,2,0
13985,39,121,2
13986,44,17,0
13987,54,306,2
13988,120,467,0
13989,83,14,1
13990,178,101,1
13991,80,0,0
13993,131,3,0
13994,111,36,2
13995,78,270,0
13996,200,45,0
13997,49,497,1
13998,106,86,0
13999,89,588,0
14000,71,64,1
14001,52,10,0
14002,189,269,1
14003,125,36,0
14004,34,22,0
14005,56,137,0
14006,111,5,1
14007,181,73,2
14008,125,122,3
14009,72,701,1
14010,155,1,0
14011,69,353,2
14012,182,21,0
14013,33,37,0
14014,198,456,2
14015,144,1138,2
14016,143,3147,2
14017,154,32,1
14018,106,49,1
14020,66,139,1
14021,81,259,1
14022,31,1,0
14023,92,15,1
14024,62,9,0
14026,82,1,0
14027,170,17,2
14029,37,25,1
14030,124,2,0
14031,162,488,1
14033,36,465,1
14037,46,9,1
14038,200,16,0
14039,32,1,0
14040,72,0,0
14041,187,1,0
14042,198,32,1
14043,126,55,1
14044,50,139,2
14047,41,3,0
14048,35,2,0
14049,199,58,1
14050,171,49,0
14051,32,189,2
14052,198,4,1
14053,139,100,2
14054,129,24,0
14055,91,232,0
14056,95,328,1
14057,42,1,0
14058,68,223,1
14059,70,34,0
14060,195,31,2
14061,42,0,0
14063,169,2305,1
14064,73,0,0
14066,186,117,2
14068,95,130,1
14070,57,0,2
14071,171,1,0
14072,169,222,1
14073,178,3,0
14075,134,758,1
14076,95,130,1
14078,126,1,0
14079,195,314,0
14082,70,0,0
14083,64,50,1
14084,168,1,2
14085,26,182,2
14086,22,23,0
14087,53,95,3
14088,39,49,1
14089,28,29,1
14090,178,6,1
14093,130,38,2
14094,195,4,1
14095,172,216,1
14097,42,37,1
14098,42,815,2
14099,93,125,1
14101,164,1,0
14102,120,2,0
14103,82,16,1
14104,66,442,0
14105,84,1,0
14106,192,103,2
14107,126,0,0
14108,51,0,0
14109,159,2622,0
14110,48,95,1
14111,193,0,0
14112,50,317,1
14113,166,535,2
14114,62,3,1
14115,58,6,0
14116,140,107,2
14117,32,6,0
14118,172,3057,3
14119,75,3,1
14120,147,144,1
14121,57,678,1
14122,14,1,0
14123,123,40,2
14124,23,289,1
14126,80,527,1
14127,88,4683,0
14128,32,4,0
14129,36,61,1
14130,118,7,1
14131,43,191,1
14132,79,24,2
14133,101,512,1
14134,20,0,0
14135,56,62,0
14136,56,62,1
14137,50,18,0
14138,199,5,0
14139,233,156,1
14140,179,510,2
14141,91,329,0
14142,49,0,0
14143,71,2,0
14144,155,471,0
14145,73,10,1
14146,134,171,1
14147,158,271,1
14148,156,0,1
14149,116,62,3
14150,91,427,1
14151,65,6,0
14152,156,133,2
14153,52,14,0
14154,64,20,1
14155,94,0,0
14156,172,7,1
14157,97,60,1
14158,145,24,1
14159,185,1004,2
14160,28,623,1
14161,35,2,0
14162,183,331,4
14163,61,139,2
14165,103,11,2
14166,26,74,1
14168,83,62,0
14169,71,363,1
14170,140,128,2
14171,185,4,2
14172,124,22,1
14173,124,12,1
14174,41,334,1
14175,16,1022,3
14176,34,34,2
14177,60,11,0
14179,179,0,0
14180,34,37,2
14181,48,3,0
14182,29,108,1
14183,100,2,0
14184,72,1,1
14185,66,53,0
14186,197,118,2
14187,45,3,0
14188,60,1,0
14189,103,12,0
14190,62,53,0
14192,40,175,1
14193,173,103,1
14194,185,1022,1
14195,174,13,1
14196,120,1575,2
14197,199,619,1
14198,138,619,0
14199,146,13,1
14200,197,7,0
14201,152,1986,1
14202,26,3,0
14203,30,23,1
14204,138,40,2
14206,174,862,1
14207,56,16,0
14208,91,26,3
14209,185,29,0
14210,93,66,1
14211,105,83,1
14212,20,3513,3
14213,77,320,1
14214,102,21,0
14215,112,3,1
14216,31,20,0
14217,32,1,0
14218,33,0,0
14219,52,5481,1
14220,72,0,0
14222,88,191,2
14223,103,220,1
14225,7,1,0
14226,25,7,1
14227,71,520,1
14228,57,101,1
14229,107,101,0
14230,191,66,2
14231,131,9,0
14232,44,20,1
14233,71,42,1
14234,65,5,0
14235,44,205,2
14236,55,330,1
14237,198,484,1
14238,49,5,0
14239,19,3,1
14240,109,52,1
14241,78,15,1
14242,68,1262,1
14243,183,10,0
14244,46,0,1
14245,58,16,0
14246,60,5,0
14247,50,0,0
14248,57,1359,0
14249,85,1,0
14250,186,1,0
14251,23,228,1
14252,44,163,1
14254,164,0,0
14255,75,0,0
14256,48,3,0
14257,50,2,0
14258,65,89,2
14259,197,229,1
14260,62,110,0
14261,60,824,2
14262,186,3680,1
14263,196,133,1
14264,85,4,0
14265,86,6,0
14266,88,6,0
14267,87,131,1
14268,69,11,1
14269,106,1944,1
14270,48,0,0
14271,137,82,0
14272,63,31,1
14274,58,2,0
14275,52,53,2
14276,52,531,1
14277,28,0,0
14278,112,333,1
14279,150,85,1
14280,78,898,1
14281,94,230,1
14282,51,179,0
14283,69,0,0
14284,114,197,1
14285,153,101,1
14286,182,2,0
14287,92,109,0
14288,22,2,0
14289,130,14,0
14290,148,42,0
14291,127,0,0
14292,166,0,0
14293,55,16,1
14294,22,48,1
14295,70,109,1
14296,65,0,1
14297,84,310,1
14298,22,10,1
14299,201,56,0
14300,40,0,0
14301,152,50,0
14302,21,0,1
14303,62,61,0
14304,46,127,1
14305,49,247,1
14306,87,284,2
14307,72,1048,1
14308,72,9,1
14309,187,539,1
14310,56,17,0
14311,47,25,1
14312,187,70,1
14313,70,0,0
14314,88,810,1
14315,120,0,0
14316,153,5,1
14317,36,46,1
14318,143,251,2
14319,146,240,1
14320,181,37,1
14321,53,403,1
14322,48,33,1
14323,64,103,1
14324,110,1340,1
14325,69,0,1
14326,200,22,0
14328,69,71,1
14329,46,1,1
14330,77,270,1
14331,89,0,0
14332,200,34,1
14333,53,67,0
14334,38,6,0
14335,127,88,1
14336,39,227,1
14337,106,0,0
14338,98,26,0
14339,45,2,0
14340,200,8,0
14341,27,0,0
14342,27,0,0
14343,131,472,0
14344,157,785,2
14345,75,637,1
14346,105,7,2
14347,77,0,0
14348,83,10,0
14349,109,2,0
14350,198,23,0
14351,200,44,1
14352,37,17,1
14353,95,3243,1
14355,53,14,0
14356,18,19,0
14357,73,204,2
14359,34,11,1
14360,76,3,0
14361,116,32,1
14362,128,19,1
14363,154,96,1
14364,126,182,1
14365,89,1,1
14366,188,0,0
14367,149,7,1
14368,33,272,1
14369,78,32,1
14370,94,0,0
14371,138,4,1
14372,138,0,0
14373,46,4,0
14374,200,1064,0
14375,72,120,1
14376,53,89,1
14377,128,2081,2
14378,120,6,0
14379,65,121,1
14381,39,0,0
14382,197,579,2
14383,59,218,1
14384,46,107,0
14385,155,67,2
14386,190,9,2
14387,201,695,1
14388,66,20,1
14389,105,2,0
14390,25,81,0
14391,83,872,1
14392,82,9,1
14393,49,99,1
14394,105,5,0
14395,67,2631,1
14396,84,56,0
14397,75,10,0
14398,183,0,0
14399,199,6,0
14400,87,45,0
14401,171,156,1
14403,128,110,1
14404,130,13,1
14405,139,15,1
14406,162,219,3
14407,78,9,1
14408,60,1,0
14409,44,29,1
14410,20,1,0
14411,196,1,0
14412,36,2,1
14413,177,1,0
14414,41,36,1
14415,33,2,0
14416,43,62,1
14417,150,4,0
14418,162,284,0
14419,190,284,1
14420,95,62,1
14421,197,18,1
14422,110,4,1
14423,58,719,1
14424,92,0,1
14425,82,1164,2
14426,56,97,3
14427,187,569,1
14428,188,29,0
14429,46,22,2
14430,45,3,0
14431,136,25,1
14432,169,73,0
14433,101,36,0
14434,163,1234,1
14435,127,43,2
14436,193,64,0
14437,57,6,0
14438,189,35,1
14440,80,4,1
14441,201,1329,1
14442,197,330,2
14443,85,0,1
14444,93,88,1
14445,157,791,2
14446,53,329,1
14447,36,0,0
14448,179,75,1
14449,153,32,0
14450,52,259,1
14451,81,14,2
14452,61,18,1
14453,99,318,1
14454,88,8,0
14455,99,16,0
14456,83,114,1
14457,72,0,0
14458,153,54,1
14459,113,99,1
14460,45,20,1
14461,89,1373,1
14462,126,3,1
14463,37,47,1
14465,101,38,1
14466,137,327,1
14467,83,0,0
14468,181,323,1
14469,113,417,1
14470,92,72,1
14471,17,1,0
14472,44,1002,2
14473,136,336,1
14474,99,9,0
14475,73,4,1
14476,138,227,2
14477,132,617,2
14478,30,198,1
14480,72,599,1
14481,115,3,0
14482,64,21,0
14484,143,295,1
14486,118,79,1
14487,61,8,1
14488,54,213,0
14489,46,139,2
14490,46,13,1
14491,194,4,1
14492,47,321,0
14494,86,9,0
14495,68,340,1
14496,158,1,0
14497,96,458,1
14498,178,191,1
14499,51,116,2
14502,71,17,1
14503,20,2,0
14504,198,2,0
14505,126,1,2
14506,36,3,0
14507,181,5,0
14508,105,8,1
14510,76,24,0
14511,124,3568,0
14512,74,35,1
14513,159,75,1
14514,138,936,3
14515,115,5440,0
14516,38,20,0
14517,29,62,1
14518,89,633,1
14519,110,1,1
14520,107,231,0
14522,107,10,1
14523,122,0,0
14524,194,3,0
14525,157,266,1
14526,147,11,0
14527,74,661,1
14528,180,25,0
14529,43,5,0
14530,91,1,0
14531,50,6,0
14532,131,2,0
14533,52,191,0
14534,97,58,1
14535,63,159,1
14536,200,943,1
14537,177,5,0
14538,100,277,1
14539,99,21,0
14540,143,6,0
14541,105,0,0
14542,105,2,0
14543,37,3568,1
14546,185,133,2
14547,148,933,1
14548,193,0,0
14549,160,329,1
14550,86,62,0
14551,40,1,0
14552,137,97,1
14553,13,0,0
14554,105,131,1
14555,162,43,1
14556,24,26,0
14557,62,0,0
14559,133,925,2
14560,91,83,3
14561,164,945,1
14562,173,852,1
14563,118,47,0
14564,71,38,1
14565,161,168,1
14566,163,1,0
14567,54,34,2
14568,102,160,0
14569,46,3,0
14570,49,1,0
14571,46,83,1
14572,194,180,1
14574,34,0,0
14575,153,41,2
14576,119,1083,3
14577,163,1083,2
14578,172,67,3
14579,96,1,0
14580,195,756,1
14582,125,3059,1
14583,185,121,1
14584,191,0,0
14585,81,35,0
14586,187,27,1
14587,60,3,0
14588,188,0,0
14589,97,23,1
14590,73,4,1
14591,43,1079,1
14592,91,14,0
14593,132,17,1
14594,96,16,0
14596,41,19,1
14597,60,116,1
14598,97,324,1
14599,92,0,0
14600,39,5,1
14601,111,58,1
14602,56,387,1
14603,103,445,0
14604,67,40,1
14605,67,150,1
14606,80,48,0
14608,178,913,1
14609,182,289,2
14610,18,1,1
14611,123,63,1
14612,48,0,0
14613,28,151,2
14614,200,6,0
14615,122,919,1
14616,200,210,1
14617,157,58,0
14619,45,193,1
14620,177,68,1
14621,194,235,1
14622,153,1024,3
14623,150,0,0
14624,33,2376,1
14625,109,289,1
14626,26,12,0
14627,36,2,0
14628,153,80,1
14629,86,8,0
14630,69,92,2
14631,195,1,2
14632,110,245,2
14633,138,1079,1
14634,173,0,0
14635,172,6213,1
14636,46,727,1
14637,84,1,0
14639,65,235,2
14640,85,4,0
14641,70,2,0
14642,157,31,0
14643,51,5,1
14644,40,306,1
14645,68,78,3
14646,39,797,1
14647,99,444,2
14648,160,13,0
14649,83,8888,2
14650,239,292,1
14651,185,128,2
14652,19,2,0
14653,28,7,0
14654,61,1,0
14655,81,104,1
14656,196,131,1
14657,105,12,1
14658,90,639,2
14659,46,2,0
14660,53,1,0
14661,96,2028,1
14662,54,24,1
14663,50,287,1
14664,105,29,1
14665,200,5,1
14666,94,27,0
14667,181,147,1
14668,98,0,0
14669,197,80,0
14670,43,646,1
14671,53,646,1
14672,44,8,0
14673,57,1,0
14674,88,97,1
14675,49,301,2
14676,95,4,0
14677,79,587,1
14678,102,167,1
14679,54,1079,0
14681,93,163,1
14682,44,0,0
14683,195,351,1
14684,77,137,1
14685,166,37,2
14686,31,53,2
14687,152,248,1
14689,63,0,0
14690,49,114,0
14691,27,227,1
14692,100,422,2
14693,83,7349,1
14694,69,0,1
14695,157,28,0
14696,95,39,1
14697,109,85,0
14698,51,256,1
14699,49,355,1
14700,73,143,2
14701,71,55,1
14702,141,47,1
14703,151,99,1
14704,60,11,0
14705,193,1582,1
14706,41,236,1
14707,61,236,1
14708,176,2755,2
14709,35,3,0
14710,29,73,2
14711,199,86,1
14712,193,594,1
14713,64,5,0
14714,101,4982,2
14715,150,92,1
14716,45,132,1
14717,177,254,2
14718,59,61,0
14719,51,384,1
14720,142,166,1
14721,83,7,0
14722,60,274,1
14723,63,30,0
14724,171,0,0
14725,23,38,0
14726,61,1,0
14727,58,72,0
14728,70,822,1
14729,79,10,0
14731,69,623,1
14732,85,41,1
14734,72,1,0
14736,89,1425,2
14737,55,4,0
14739,89,567,1
14740,58,17,1
14741,65,38,1
14742,72,19,1
14743,65,16,0
14744,79,8,1
14745,128,274,1
14746,98,9,0
14747,66,267,1
14748,48,0,0
14750,62,399,1
14751,176,316,1
14753,41,0,1
14754,70,17,1
14755,172,3294,2
14756,158,293,1
14757,60,57,0
14758,191,34,0
14759,144,1231,1
14760,46,0,1
14761,104,0,1
14762,64,7,1
14763,149,34,0
14764,169,0,0
14765,89,839,1
14766,40,135,1
14767,146,32,1
14768,61,10,0
14769,37,302,1
14770,115,0,0
14771,196,0,0
14773,24,145,1
14774,44,705,1
14775,163,395,1
14776,145,21,1
14777,40,7,1
14778,124,148,2
14779,59,108,1
14780,102,35,1
14781,53,190,1
14782,195,7444,1
14783,90,29,1
14784,110,0,0
14785,190,483,1
14786,84,2778,1
14787,130,293,1
14788,65,1,0
14789,69,15,1
14790,112,15,1
14791,84,1,0
14792,48,8,0
14793,64,77,0
14794,35,1,0
14795,54,166,2
14796,54,27,0
14797,104,293,3
14798,99,120,2
14799,178,913,1
14800,136,9,0
14801,177,238,1
14802,182,47,1
14803,114,56,0
14804,64,246,1
14805,91,395,1
14806,45,8,0
14807,102,309,1
14808,35,1666,1
14809,128,2,0
14810,21,0,1
14811,40,44,1
14812,120,42,0
14813,68,830,2
14814,103,36,0
14815,167,36,1
14816,111,0,0
14817,177,0,1
14818,58,13,0
14819,72,173,1
14820,93,830,2
14821,29,0,0
14822,89,650,1
14823,61,135,1
14824,105,15,0
14825,88,91,1
14826,199,708,1
14827,171,970,2
14828,37,9262,1
14829,88,0,0
14830,138,568,1
14831,90,4,1
14832,109,18,1
14833,43,340,1
14834,64,30,0
14835,133,26,0
14836,78,3,0
14837,95,2136,1
